Reference,Verse,Topics
Romans 5:8,"But God shows his love for us in that while we were still sinners, Christ died for us.",Love|Salvation|Grace|Forgiveness
2 Corinthians 12:9,"But he said to me, 'My grace is sufficient for you, for my power is made perfect in weakness.' Therefore I will boast all the more gladly of my weaknesses, so that the power of Christ may rest upon me.",Grace|GodsPower|Weakness|Faith
Psalm 55:16-17,"But I call to God, and the LORD will save me. Evening and morning and at noon I pray and cry aloud, and he hears my voice.",Prayer|GodsCare|Faith|Trust
Matthew 5:44,"But I say to you, Love your enemies and pray for those who persecute you.",Love|Forgiveness|Prayer|Faith
Psalm 31:14-15,"But I trust in you, O LORD; I say, “You are my God.” My times are in your hand; rescue me from the hand of my enemies and from my persecutors!",Trust|Faith|GodsTiming|Deliverance
1 Peter 3:15,"But in your hearts honor Christ the Lord as holy, always being prepared to make a defense to anyone who asks you for a reason for the hope that is in you; yet do it with gentleness and respect.",Hope|Faith|Witness|Gentleness
Matthew 19:26,"But Jesus looked at them and said, 'With man this is impossible, but with God all things are possible.'",GodsPower|Faith|Hope|Encouragement
Matthew 6:33,"But seek first the kingdom of God and his righteousness, and all these things will be added to you.",Priorities|Trust|Faith|Provision
Galatians 5:22-23,"But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, self-control; against such things there is no law.",Love|Joy|Peace|Patience|Kindness|Faithfulness|Self-Control
Isaiah 40:31,But they who wait for the LORD shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.,Strength|Hope|Perseverance|Trust
John 1:12,"But to all who did receive him, who believed in his name, he gave the right to become children of God.",Faith|Salvation|Identity|GodsLove
John 15:26,"But when the Helper comes, whom I will send to you from the Father, the Spirit of truth, who proceeds from the Father, he will bear witness about me.",HolySpirit|Truth|Faith|Witness
Matthew 6:6,"But when you pray, go into your room and shut the door and pray to your Father who is in secret. And your Father who sees in secret will reward you.",Prayer|Faith|Intimacy|Reward
1 Peter 2:9,"But you are a chosen race, a royal priesthood, a holy nation, a people for his own possession, that you may proclaim the excellencies of him who called you out of darkness into his marvelous light.",Identity|Purpose|Faith|Witness
Psalm 86:15,"But you, O Lord, are a God merciful and gracious, slow to anger and abounding in steadfast love and faithfulness.",GodsLove|Mercy|Faithfulness|Grace
Psalm 3:3,"But you, O LORD, are a shield about me, my glory, and the lifter of my head.",GodsProtection|Comfort|Hope|Faith
Psalm 55:22,"Cast your burden on the LORD, and he will sustain you; he will never permit the righteous to be moved.",Trust|Comfort|GodsCare|Strength
1 Peter 5:7,"Casting all your anxieties on him, because he cares for you.",Anxiety|Trust|GodsCare|Comfort
Matthew 11:28,"Come to me, all who labor and are heavy laden, and I will give you rest.",Comfort|Peace|Rest|Invitation
Matthew 11:28-29,"Come to me, all who labor and are heavy laden, and I will give you rest. Take my yoke upon you, and learn from me, for I am gentle and lowly in heart, and you will find rest for your souls.",Rest|Comfort|Faith|Humility
Psalm 34:11,"Come, O children, listen to me; I will teach you the fear of the LORD.",Wisdom|Faith|Teaching|FearofGod
Psalm 37:5,"Commit your way to the LORD; trust in him, and he will act.",Trust|Faith|Purpose|GodsAction
Proverbs 16:3,"Commit your work to the LORD, and your plans will be established.",Purpose|Trust|Work|Faith
James 1:2-3,"Count it all joy, my brothers, when you meet trials of various kinds, for you know that the testing of your faith produces steadfastness.",Joy|Perseverance|Faith|Trials|SpiritualGrowth
Psalm 51:10,"Create in me a clean heart, O God, and renew a right spirit within me.",Repentance|Renewal|Heart|Faith
Proverbs 18:21,"Death and life are in the power of the tongue, and those who love it will eat its fruits.",Wisdom|Speech|Responsibility|Faith
Psalm 37:4,"Delight yourself in the LORD, and he will give you the desires of your heart.",Joy|Trust|Purpose|Faith
Philippians 4:6-7,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.",Anxiety|Peace|Prayer|Trust|Gratitude
Romans 12:2,"Do not be conformed to this world, but be transformed by the renewal of your mind, that by testing you may discern what is the will of God, what is good and acceptable and perfect.",Transformation|Wisdom|Purpose|Faith
Romans 12:21,"Do not be overcome by evil, but overcome evil with good.",Goodness|Faith|Victory|Love
Matthew 6:19-20,"Do not lay up for yourselves treasures on earth, where moth and rust destroy and where thieves break in and steal, but lay up for yourselves treasures in heaven, where neither moth nor rust destroys and where thieves do not break in and steal.",Priorities|Faith|Eternity|Trust
